"No.","Time","Source","Destination","Protocol","Length","Info"
"15333","67.463454","2a06:c700:2002::d","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","UDP","1292","443  >  61400 Len=1230"
"15334","67.463454","2a06:c700:2002::d","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","UDP","1292","443  >  61400 Len=1230"
"15335","67.463515","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","2a06:c700:2002::d","UDP","99","61400  >  443 Len=37"
"15336","67.463702","2a06:c700:2002::d","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","UDP","1292","443  >  61400 Len=1230"
"15337","67.463702","2a06:c700:2002::d","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","UDP","1292","443  >  61400 Len=1230"
"15338","67.463702","2a06:c700:2002::d","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","UDP","1292","443  >  61400 Len=1230"
"15339","67.463702","2a06:c700:2002::d","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","UDP","1292","443  >  61400 Len=1230"
"15340","67.464523","2a06:c700:2002::d","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","UDP","1292","443  >  61400 Len=1230"
"15341","67.464523","2a06:c700:2002::d","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","UDP","1292","443  >  61400 Len=1230"
"15342","67.464523","2a06:c700:2002::d","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","UDP","1292","443  >  61400 Len=1230"
"15343","67.464776","2a06:c700:2002::d","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","UDP","1292","443  >  61400 Len=1230"
"15344","67.464776","2a06:c700:2002::d","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","UDP","1292","443  >  61400 Len=1230"
"15345","67.464834","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","2a06:c700:2002::d","UDP","99","61400  >  443 Len=37"
"15346","67.465032","2a06:c700:2002::d","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","UDP","1292","443  >  61400 Len=1230"
"15347","67.465032","2a06:c700:2002::d","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","UDP","1292","443  >  61400 Len=1230"
"15348","67.465032","2a06:c700:2002::d","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","UDP","1292","443  >  61400 Len=1230"
"15349","67.465032","2a06:c700:2002::d","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","UDP","1292","443  >  61400 Len=1230"
"15350","67.465892","2a06:c700:2002::d","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","UDP","1292","443  >  61400 Len=1230"
"15351","67.465892","2a06:c700:2002::d","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","UDP","1292","443  >  61400 Len=1230"
"15352","67.465892","2a06:c700:2002::d","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","UDP","1292","443  >  61400 Len=1230"
"15353","67.465892","2a06:c700:2002::d","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","UDP","1292","443  >  61400 Len=1230"
"15354","67.465892","2a06:c700:2002::d","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","UDP","1292","443  >  61400 Len=1230"
"15355","67.465892","2a06:c700:2002::d","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","UDP","1292","443  >  61400 Len=1230"
"15356","67.465995","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","2a06:c700:2002::d","UDP","99","61400  >  443 Len=37"
"15357","67.466162","2a06:c700:2002::d","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","UDP","1292","443  >  61400 Len=1230"
"15358","67.466162","2a06:c700:2002::d","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","UDP","1292","443  >  61400 Len=1230"
"15359","67.466162","2a06:c700:2002::d","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","UDP","1292","443  >  61400 Len=1230"
"15360","67.466402","2a06:c700:2002::d","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","UDP","1292","443  >  61400 Len=1230"
"15361","67.467271","2a06:c700:2002::d","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","UDP","1292","443  >  61400 Len=1230"
"15362","67.467271","2a06:c700:2002::d","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","UDP","1292","443  >  61400 Len=1230"
"15363","67.467271","2a06:c700:2002::d","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","UDP","1292","443  >  61400 Len=1230"
"15364","67.467271","2a06:c700:2002::d","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","UDP","1292","443  >  61400 Len=1230"
"15365","67.467271","2a06:c700:2002::d","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","UDP","1292","443  >  61400 Len=1230"
"15366","67.467271","2a06:c700:2002::d","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","UDP","1292","443  >  61400 Len=1230"
"15367","67.467357","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","2a06:c700:2002::d","UDP","100","61400  >  443 Len=38"
"15368","67.467527","2a06:c700:2002::d","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","UDP","1292","443  >  61400 Len=1230"
"15369","67.467527","2a06:c700:2002::d","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","UDP","1292","443  >  61400 Len=1230"
"15370","67.467527","2a06:c700:2002::d","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","UDP","1292","443  >  61400 Len=1230"
"15371","67.467527","2a06:c700:2002::d","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","UDP","1292","443  >  61400 Len=1230"
